,Date,Agas,Almas,Aminyekom,Asam,Asas,Atimes,Atlas,Bazr,Firouze,Ofogmellat
88,13990105,23303.46,51839.68,10141.91,51995.63,52933.7,72366.44,74724.31,37967.07,57586.14,45155.26
89,13990106,23930.07,50419.54,10166.93,52880.68,54376.31,75036.85,76863.27,37749.87,58388.52,47656.23
90,13990109,24861.44,51471.21,10165.93,52813.28,56134.99,76980.22,79568.08,40172.32,58843.46,49100.74
91,13990110,25430.56,52938.27,10190.95,53309.82,58275.12,79497.46,81325.8,41186.21,58944.24,50524.88
92,13990111,25069.56,52710.53,10173.93,53409.92,57610.29,79903.25,79968.38,41229.65,58674.54,49431.55
93,13990116,26361.93,53612.66,10151.92,53676.52,59488.86,83442.9,83264.12,41405.26,60643.06,51408.66
94,13990117,27362.09,55246.86,10126.89,56263.27,61146.47,84410.61,84149.0,43556.9,61320.67,52267.22
95,13990118,27315.4,54167.82,10132.9,55626.99,61063.25,82298.16,82205.67,43344.33,61160.38,51358.21
96,13990119,28252.8,54762.07,10147.91,57102.73,62726.81,83153.48,85410.1,44324.03,61588.45,52584.45
97,13990120,29459.32,56342.51,10158.92,57087.86,64825.33,84615.49,87705.58,46214.11,63500.34,55035.94
98,13990123,30752.45,57660.03,10168.93,56908.47,65635.81,86361.94,87567.13,47293.63,65059.99,56585.23
99,13990124,31855.29,59541.5,10179.94,58195.9,67341.97,87513.65,90601.01,47779.78,69114.12,58665.17
100,13990125,32512.52,60180.71,10188.95,58249.42,67984.01,88520.15,91451.78,49190.18,69668.88,59829.31
101,13990126,31597.97,58986.34,10200.96,57846.04,67477.71,88643.47,90027.14,48868.54,69126.6,57612.59
102,13990127,32036.79,61105.32,10195.95,59399.09,69643.61,92094.61,93808.45,50172.65,72075.06,59762.37
103,13990130,33099.97,63051.3,10196.96,61140.43,72396.06,94322.43,96672.78,51872.34,74649.2,62236.18
104,13990131,34306.99,67483.75,10201.96,61860.96,74283.54,97345.9,99354.51,54669.1,77524.72,65542.36
105,13990201,35153.76,70880.18,10031.81,63051.26,75136.62,99218.67,100541.37,54694.06,78615.99,67191.56
106,13990202,36042.46,75091.74,10051.83,64772.78,77047.89,101404.72,103402.69,56176.55,82873.6,68173.32
107,13990203,37222.87,74327.42,10080.85,65612.24,79369.34,103783.71,104794.22,57862.37,85334.49,68537.12
108,13990206,39160.43,73611.0,10082.85,68732.19,82991.72,107828.6,110319.21,60048.21,89358.87,71438.75
109,13990207,41381.68,74672.44,10092.86,70320.91,84038.01,120943.92,115394.74,62299.67,92825.61,74010.54
110,13990208,44571.45,77484.39,10119.89,71690.6,85444.95,118842.4,125711.33,63310.79,97631.26,77202.24
111,13990209,46999.55,85829.33,10144.91,73915.6,87894.22,137704.3,135701.86,66340.47,104480.28,80821.76
112,13990210,43826.6,88886.6,10171.93,75558.83,89649.92,154437.84,133332.14,67992.1,104160.67,82623.28
113,13990213,45675.29,91844.17,10151.92,77036.55,92943.35,144683.16,136561.66,70694.59,107518.0,87119.79
114,13990214,47268.67,94748.97,10184.94,80216.96,95927.65,143747.27,137725.45,74050.52,110140.14,94321.97
115,13990215,45211.61,90821.82,10237.99,79578.7,95269.76,136740.57,129148.52,74751.1,108013.25,91964.58
116,13990216,43497.73,87487.95,10303.05,78671.85,92757.08,131515.13,126866.09,72956.22,105583.08,89450.99
117,13990217,42800.83,85884.06,10221.98,76715.44,93657.72,129344.0,126408.6,72925.72,106032.26,88658.4
118,13990220,46218.05,92665.18,10246.0,79946.39,98241.18,140229.5,133412.4,77817.75,112478.17,94986.5
119,13990221,47201.39,97264.77,10292.04,83023.73,101852.66,145157.56,137825.77,80060.89,117143.69,99496.6
120,13990222,46248.17,95820.19,10376.11,81330.95,100845.01,145638.93,135059.77,79418.54,116040.89,99331.68
121,13990223,43236.64,88103.71,10338.08,79412.2,95321.28,134797.19,128135.22,76582.96,107286.69,91973.31
122,13990224,43223.84,90700.63,10279.03,79003.87,95262.82,137648.61,128616.79,76500.7,110000.97,91821.0
123,13990227,41346.53,85989.62,10361.1,75200.06,90075.97,131264.5,122202.9,72656.76,101905.18,86077.88
124,13990228,40080.01,82733.94,10479.2,73728.29,88105.26,127749.72,119127.89,70338.76,98418.28,84224.95
125,13990229,42732.04,88486.84,10257.01,76510.28,94937.84,134903.61,126079.53,75189.19,106977.64,89498.53
126,13990230,43315.47,88570.9,10253.0,77365.59,96211.02,134931.46,127307.52,75820.45,107726.28,89138.61
127,13990231,41311.63,84394.52,10247.0,76254.58,93802.38,128829.81,125093.32,72620.72,103743.17,84765.31
128,13990303,39678.84,80259.19,10075.85,75758.04,91638.46,123425.35,121081.25,69087.33,93381.33,82847.38
129,13990306,37609.98,74656.8,10085.86,76148.53,86712.19,116191.89,115740.86,68728.76,91999.79,80183.59
130,13990307,39903.27,78413.88,10100.87,79247.67,89957.07,120718.15,119175.04,73574.72,96780.31,85862.05
131,13990310,42265.6,84313.4,10127.89,80889.91,94567.28,130223.2,126911.23,78010.89,106818.05,90809.5
132,13990311,41470.55,82872.73,10133.9,78934.49,93174.21,126805.87,124707.06,75461.3,105252.05,88017.05
133,13990312,42344.43,83334.06,10165.93,80369.59,95078.53,124631.76,126790.84,76071.16,105393.8,89194.46
134,13990313,43845.93,85767.75,10154.92,81883.98,98684.07,128427.01,130557.11,79365.91,106967.56,92064.88
135,13990317,46240.89,89071.32,10139.91,84999.97,102291.59,133672.34,135096.89,82564.01,113913.1,96606.86
136,13990318,48765.9,93983.67,10135.9,88288.41,107226.78,144422.58,141688.35,87022.41,121427.57,104717.13
137,13990319,47413.52,91824.62,10140.91,89211.12,104970.72,139883.39,140380.09,84376.17,118925.66,102587.47
138,13990320,47201.89,90852.12,10151.92,92125.92,106211.21,139098.68,140813.5,84083.33,116584.91,101666.4
139,13990321,48604.98,92810.81,10163.93,93141.79,111499.13,143023.23,145436.55,86041.43,120972.24,105737.62
140,13990324,51005.72,94210.43,10178.94,98946.61,117314.16,150949.9,150119.8,90134.5,127561.47,111639.28
141,13990325,49706.56,90791.53,10188.95,101934.75,114694.47,147948.31,149783.71,88394.82,125037.23,110089.54
142,13990326,49931.0,91469.83,10208.97,102618.6,117541.05,148344.15,152125.33,88907.06,126056.64,113218.25
143,13990327,50993.42,92673.0,10218.97,104701.88,122061.1,151771.41,155093.0,96793.58,127377.01,115645.19
144,13990331,52811.98,95320.74,10259.01,106723.7,127039.89,158957.13,162405.81,99654.38,131056.57,118384.03
145,13990401,53676.83,95966.8,10058.83,103904.05,127769.12,159147.1,165743.68,98504.27,131493.46,117438.59
146,13990402,56781.5,98089.68,10068.84,105067.59,131953.28,165029.94,174236.33,101442.38,136270.1,120927.93
147,13990403,60533.61,105633.16,10108.88,112733.68,136739.86,176010.92,181781.9,107772.87,144202.04,129738.99
148,13990404,59819.39,105308.67,10118.89,121703.06,135800.58,179260.16,177813.98,105675.59,147493.26,133091.87
149,13990407,62276.36,110740.01,10148.91,124937.98,141727.57,187940.71,184075.37,110469.36,154794.13,139368.78
